Date,accumulate
2021/10/21,0
2021/10/22,-3384
2021/10/23,-3384
2021/10/24,-3384
2021/10/25,-6468
2021/10/26,-6468
2021/10/27,-6468
2021/10/28,-6468
2021/10/29,-6468
2021/10/30,-6468
2021/10/31,-6468
2021/11/1,-13604
2021/11/2,-13604
2021/11/3,-13604
2021/11/4,-13604
2021/11/5,-13604
2021/11/6,-13604
2021/11/7,-13604
2021/11/8,-13604
2021/11/9,-13604
2021/11/10,-13604
2021/11/11,-13604
2021/11/12,-13604
2021/11/13,-13604
2021/11/14,-13604
2021/11/15,-13604
2021/11/16,-13604
2021/11/17,23711
2021/11/18,19989
2021/11/19,19989
2021/11/20,19989
2021/11/21,19989
2021/11/22,10767
2021/11/23,8281
2021/11/24,8281
2021/11/25,8281
2021/11/26,8281
2021/11/27,8281
2021/11/28,8281
2021/11/29,8281
2021/11/30,8281
2021/12/1,17345
2021/12/2,17345
2021/12/3,17345
2021/12/4,17345
2021/12/5,17345
2021/12/6,17345
2021/12/7,17345
2021/12/8,17345
2021/12/9,17345
2021/12/10,17345
2021/12/11,17345
2021/12/12,17345
2021/12/13,17345
2021/12/14,16809
2021/12/15,15385
2021/12/16,10041
2021/12/17,10041
2021/12/18,10041
2021/12/19,10041
2021/12/20,9555
2021/12/21,3919
2021/12/22,3919
2021/12/23,3919
2021/12/24,3919
2021/12/25,3919
2021/12/26,3919
2021/12/27,3919
2021/12/28,3919
2021/12/29,3919
2021/12/30,3919
2021/12/31,3919
2022/1/1,3919
2022/1/2,3919
2022/1/3,3919
2022/1/4,3919
2022/1/5,3919
2022/1/6,3919
2022/1/7,3919
2022/1/8,3919
2022/1/9,3919
2022/1/10,3919
2022/1/11,3919
2022/1/12,3919
2022/1/13,3919
2022/1/14,3919
2022/1/15,3919
2022/1/16,3919
2022/1/17,3919
2022/1/18,3919
2022/1/19,26633
2022/1/20,26633
2022/1/21,12815
2022/1/22,12815
2022/1/23,12815
2022/1/24,12815
2022/1/25,12815
2022/1/26,12815
2022/1/27,12815
2022/1/28,12815
2022/1/29,12815
2022/1/30,12815
2022/1/31,12815
2022/2/1,12815
2022/2/2,12815
2022/2/3,12815
2022/2/4,12815
2022/2/5,12815
2022/2/6,12815
2022/2/7,12815
2022/2/8,12815
2022/2/9,12815
2022/2/10,12815
2022/2/11,12815
2022/2/12,12815
2022/2/13,12815
2022/2/14,12815
2022/2/15,5771
2022/2/16,24999
2022/2/17,14705
2022/2/18,2378
2022/2/19,2378
2022/2/20,2378
2022/2/21,-20266
2022/2/22,-27338
2022/2/23,-27338
2022/2/24,-27338
2022/2/25,-27338
2022/2/26,-27338
2022/2/27,-27338
2022/2/28,-27338
2022/3/1,8190
2022/3/2,7246
2022/3/3,7246
2022/3/4,-4420
2022/3/5,-4420
2022/3/6,-4420
2022/3/7,-4420
2022/3/8,86010
2022/3/9,71642
2022/3/10,71642
2022/3/11,97018
2022/3/12,97018
2022/3/13,97018
2022/3/14,97018
2022/3/15,97018
2022/3/16,97018
2022/3/17,97018
2022/3/18,97018
2022/3/19,97018
2022/3/20,97018
2022/3/21,97018
2022/3/22,97018
2022/3/23,97018
2022/3/24,97018
2022/3/25,97018
2022/3/26,97018
2022/3/27,97018
2022/3/28,156816
2022/3/29,148164
2022/3/30,148164
2022/3/31,148164
2022/4/1,148164
2022/4/2,148164
2022/4/3,148164
2022/4/4,148164
2022/4/5,148164
2022/4/6,139962
2022/4/7,139962
2022/4/8,139962
2022/4/9,139962
2022/4/10,139962
2022/4/11,139962
2022/4/12,139962
2022/4/13,139962
2022/4/14,139962
2022/4/15,139962
2022/4/16,139962
2022/4/17,139962
2022/4/18,139962
2022/4/19,139962
2022/4/20,187161
2022/4/21,187161
2022/4/22,161205
2022/4/23,161205
2022/4/24,161205
2022/4/25,161205
2022/4/26,161205
2022/4/27,161205
2022/4/28,161205
2022/4/29,210351
2022/4/30,210351
2022/5/1,210351
2022/5/2,210351
2022/5/3,210351
2022/5/4,210351
2022/5/5,191499
2022/5/6,137400
2022/5/7,137400
2022/5/8,137400
2022/5/9,137400
2022/5/10,137400
2022/5/11,137400
2022/5/12,137400
2022/5/13,137400
2022/5/14,137400
2022/5/15,137400
2022/5/16,137400
2022/5/17,137400
2022/5/18,141696
2022/5/19,130504
2022/5/20,157158
2022/5/21,157158
2022/5/22,157158
2022/5/23,132066
2022/5/24,102720
2022/5/25,82524
2022/5/26,82524
2022/5/27,49982
2022/5/28,49982
2022/5/29,49982
2022/5/30,49982
2022/5/31,49982
2022/6/1,49982
2022/6/2,49982
2022/6/3,49982
2022/6/4,49982
2022/6/5,49982
2022/6/6,49982
2022/6/7,49982
2022/6/8,49982
2022/6/9,49982
2022/6/10,49982
2022/6/11,49982
2022/6/12,49982
2022/6/13,38154
2022/6/14,23566
2022/6/15,28174
2022/6/16,10212
2022/6/17,10212
2022/6/18,10212
2022/6/19,10212
2022/6/20,10212
2022/6/21,18352
2022/6/22,-12308
2022/6/23,-24668
2022/6/24,-24668
2022/6/25,-24668
2022/6/26,-24668
2022/6/27,-24668
2022/6/28,-29678
2022/6/29,-56498
2022/6/30,-56498
2022/7/1,-56498
2022/7/2,-56498
2022/7/3,-56498
2022/7/4,27744
2022/7/5,27744
2022/7/6,27744
2022/7/7,27744
2022/7/8,27744
2022/7/9,27744
2022/7/10,27744
2022/7/11,27744
2022/7/12,27744
2022/7/13,27744
2022/7/14,27744
2022/7/15,27744
2022/7/16,27744
2022/7/17,27744
2022/7/18,27744
2022/7/19,23175
2022/7/20,23995
2022/7/21,18285
2022/7/22,18285
2022/7/23,18285
2022/7/24,18285
2022/7/25,18285
2022/7/26,23825
2022/7/27,19765
2022/7/28,19765
2022/7/29,19765
2022/7/30,19765
2022/7/31,19765
2022/8/1,19765
2022/8/2,11655
2022/8/3,11655
2022/8/4,11655
2022/8/5,-6705
2022/8/6,-6705
2022/8/7,-6705
2022/8/8,-6705
2022/8/9,-6705
2022/8/10,-6705
2022/8/11,-6705
2022/8/12,-6705
2022/8/13,-6705
2022/8/14,-6705
2022/8/15,-6705
2022/8/16,-6705
2022/8/17,47635
2022/8/18,49275
2022/8/19,49275
2022/8/20,49275
2022/8/21,49275
2022/8/22,46415
2022/8/23,46415
2022/8/24,46415
2022/8/25,54155
2022/8/26,54155
2022/8/27,54155
2022/8/28,54155
2022/8/29,41795
2022/8/30,41795
2022/8/31,41795
2022/9/1,41795
2022/9/2,41795
2022/9/3,41795
2022/9/4,41795
2022/9/5,41795
2022/9/6,41795
2022/9/7,41795
2022/9/8,112337
2022/9/9,112337
2022/9/10,112337
2022/9/11,112337
2022/9/12,112337
2022/9/13,112337
2022/9/14,134108
2022/9/15,135368
2022/9/16,135368
2022/9/17,135368
2022/9/18,135368
2022/9/19,135368
2022/9/20,135368
2022/9/21,123232
2022/9/22,43846
2022/9/23,26034
2022/9/24,26034
2022/9/25,26034
2022/9/26,26034
2022/9/27,26034
2022/9/28,26034
2022/9/29,90744
2022/9/30,69914
2022/10/1,69914
2022/10/2,69914
2022/10/3,69914
2022/10/4,69062
2022/10/5,69062
2022/10/6,69062
2022/10/7,69062
2022/10/8,69062
2022/10/9,69062
2022/10/10,69062
2022/10/11,75479
2022/10/12,75479
2022/10/13,75479
2022/10/14,75479
2022/10/15,75479
2022/10/16,75479
2022/10/17,117047
2022/10/18,135241
